name,county,town,official_address
Kajiampau Dispensary,Tharaka Nithi,Chuka,P.O Box 264
Kajire Dispensary,Taita Taveta,Voi,P.O Box 507
Kajuki Health Centre,Tharaka Nithi,Chuka,P.O Box 8
Kalewa Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box 10
Kalwal Dispensary,Elgeyo Marakwet,,
Kamasia Health Centre,Elgeyo Marakwet,,
Kambandi Dispensary,Tharaka Nithi,Chuka,P.O Box 8
Kamogo Health Centre,Elgeyo Marakwet,,
Kamujohn Medical Clinic,Elgeyo Marakwet,Chepkorio,
Kamwathu Dispensary,Tharaka Nithi,Marimanti,P.O Box 5 Marimanti
Kamwimbi Dispensary,Tharaka Nithi,,
Kangutu Dispensary,Tharaka Nithi,,
Itugururu Dispensary,Tharaka Nithi,Chuka,P.O Box 8
Iriga Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box  10
Iriuko Ria Ng'ombe,Tharaka Nithi,,
Jemunada Dispensary,Elgeyo Marakwet,,
Jkuat Medical Clinic (Taita-Taveta) Campus,Taita Taveta,Voi,
Kapcherop Health Centre,Elgeyo Marakwet,Kapcherop,P.O Box 47
Kapchesewes dispensary,Elgeyo Marakwet,,
Kapkata Dispensary,Elgeyo Marakwet,kapsowar,P.O Box 252
Joy Medical Clinic (Mwatate),Taita Taveta,Mwatate,P.O Box 159
Joy Medical Clinic Chuka,Tharaka Nithi,Chuka,
Kaanwa CFW Clinic,Tharaka Nithi,,
Kaanwa CFW Clinic,Tharaka Nithi,Chuka,
Kaanwa Dispensary,Tharaka Nithi,Chogoria,P.O Box 35
Kaare Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box 10
Kabetwa Health Centre,Elgeyo Marakwet,,
Kabulwo Dispensary,Elgeyo Marakwet,Iten,P.O Box 332
Highway Medical Clinic Iten,Elgeyo Marakwet,Iten,
Holiday Medical Clinic,Tharaka Nithi,Chogoria,P.O Box 557
Kabururu Dispensary,Tharaka Nithi,Chuka,
Horesha Medicalicare,Taita Taveta,Mwatate,P.O Box 171
Igamatundu Dispensary,Tharaka Nithi,Chuka Magumoni,P.O Box 37
Gaciongo Dispensary,Tharaka Nithi,MARIMANTI,P.O Box P.O. Box 5
Gaketha Dispensary,Tharaka Nithi,Magutuni,P.O Box 10
Kapkessum Dispensary,Elgeyo Marakwet,,P.O Box 332 Iten
Kapkoi Health Centre,Elgeyo Marakwet,Iten,P.O Box 332 Iten
Kapkonga dispensary,Elgeyo Marakwet,,
Gatunga Health Centre,Tharaka Nithi,Gatunga,P.O Box 63 Marimanti
Gatunga Model Health Centre,Tharaka Nithi,Marimanti,P.O Box 5
Ghazi Dispensary,Taita Taveta,Voi,P.O Box Kitivo
Gianchuku Dispensary,Tharaka Nithi,Magutni Chogoria,P.O. Box 10
Gitogoto Dispensary,Tharaka Nithi,,
Gitombani Dispensary,Tharaka Nithi,Chogoria,P.O Box 338
Elgeyo Marakwet County Beyond Zero Mobile Clinic,Elgeyo Marakwet,332  Iten,
Elis Medicare,Tharaka Nithi,Chogoria,P.O Box 257
Emsea Dispensary,Elgeyo Marakwet,Iten,P.O Box 332 Iten
Corner Clinic,Taita Taveta,VOI,P.O Box 532
David Kayanda Dispensary,Taita Taveta,Tausa,P.O Box Tausa
Dawida Maternity Nursing Home,Taita Taveta,Wundanyi,P.O Box 1257
Dawson Mwanyumba Dispensary,Taita Taveta,Wundanyi,P.O Box 1216
Dembwa Dispensary,Taita Taveta,Debwa,P.O Box Private bag
Divine Mercy Dispensary,Taita Taveta,,
Divine Mercy Eldoro (Catholic) Dispensary,Taita Taveta,Taveta,Please specify P.O. Box 31
Busieso Dispensary,Elgeyo Marakwet,,
CCM Kaare,Tharaka Nithi,magutuni,P.O Box 10
Bungwet Dispensary,Elgeyo Marakwet,,
Bura Health Centre (Taita Taveta),Taita Taveta,Ng'ambwa,P.O Box 188
Bura Health Centre Taita,Taita Taveta,Ngambwa,P.O Box 188
Bura Mission Clinic,Taita Taveta,Ng'ambwa,P.O Box 40
CFW  Kibumbu,Tharaka Nithi,75,
Chala Dispensary (Taita Taveta),Taita Taveta,,
Challa Dispensary,Taita Taveta,Taveta,P.O Box P.O. Box 31
Changach Barak Dispensary,Elgeyo Marakwet,,
Chesetan Dispensary,Elgeyo Marakwet,,
Chesiyo Dispensary,Elgeyo Marakwet,,
Chesoi Health Centre,Elgeyo Marakwet,Kapsowar,P.O Box P.O. Box 163
Chesoi Medical Clinic,Elgeyo Marakwet,,
Chemworor Health Centre,Elgeyo Marakwet,Kapsowar,P.O Box 49
Cheptebo Dispensary,Elgeyo Marakwet,,
Cheptobot Dispensary,Elgeyo Marakwet,kapsowar,
Cheptongei Dispensary,Elgeyo Marakwet,,
Azimio Medical Clinic (Meru South),Tharaka Nithi,Chuka,P.O Box 415
Assumption Sisters Dispensary,Elgeyo Marakwet,,
Chororget Dispensary,Elgeyo Marakwet,,
Chuka Cottage Hospital,Tharaka Nithi,Chuka,P.O Box 33
Chuka District Hospital,Tharaka Nithi,Chuka,P.O Box P.O. Box 8
Chuka University Dispensary,Tharaka Nithi,Chuka,P.O Box 8
Chuka Unversity Dispensary,Tharaka Nithi,,
Bethsaida Grandcure Medical Clinic,Tharaka Nithi,Chogoria,P.O Box 419
Biretwa health centre,Elgeyo Marakwet,Iten,
Acode Medical Clinic Maungu,Taita Taveta,Voi,P.O Box 18
Bughuta Health Centre,Taita Taveta,Maungu,P.O Box 12
Anin Dispensary,Elgeyo Marakwet,Iten,
Arror Health Centre,Elgeyo Marakwet,Kapsowar,P.O Box 252
Mugas Clinic,Tharaka Nithi,Marimanti,P.O Box 101
Mugwee Clinic,Tharaka Nithi,,
Mukui Health Centre,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Mukuuni Dispensary,Tharaka Nithi,Chuka,P.O Box 8
Mumbuni Dispensary (Maara),Tharaka Nithi,Magutni Chogoria,P.O. Box 10
Mungwa Dispensary,Elgeyo Marakwet,,
Murambani Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box 10
Muskut Health Centre,Elgeyo Marakwet,Iten,P.O Box 332 Iten
Mutethia Clinic Magutuni,Tharaka Nithi,Chogoria,P.O Box 187
Muthambi Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Muthambi Health Centre,Tharaka Nithi,Chuka,P.O. Box 735
